geo_accession	sex	ploidy	cell_type
GSM417985	n/a	disomic	megakaryocytic leukemia blasts
GSM417986	n/a	disomic	megakaryocytic leukemia blasts
GSM417987	n/a	disomic	megakaryocytic leukemia blasts
GSM417988	n/a	disomic	megakaryocytic leukemia blasts
GSM417989	n/a	disomic	megakaryocytic leukemia blasts
GSM417990	n/a	disomic	megakaryocytic leukemia blasts
GSM417991	n/a	disomic	megakaryocytic leukemia blasts
GSM417992	n/a	disomic	megakaryocytic leukemia blasts
GSM417993	n/a	disomic	megakaryocytic leukemia blasts
GSM417994	n/a	disomic	megakaryocytic leukemia blasts
GSM417995	n/a	disomic	megakaryocytic leukemia blasts
GSM417996	n/a	disomic	NA
GSM417997	n/a	disomic	NA
GSM417998	n/a	disomic	NA
GSM417999	n/a	disomic	NA
GSM418000	n/a	disomic	NA
GSM418001	n/a	disomic	NA
GSM418002	n/a	disomic	NA
GSM5129128	n/a	disomic	n/a
GSM5129129	n/a	disomic	n/a
GSM5129130	n/a	disomic	n/a
GSM5129131	n/a	disomic	n/a
GSM5129132	n/a	disomic	n/a
GSM5129133	n/a	disomic	n/a
GSM435320	n/a	disomic	white blood cells
GSM435321	n/a	disomic	white blood cells
GSM435322	n/a	disomic	white blood cells
GSM435323	n/a	disomic	white blood cells
GSM435324	n/a	disomic	white blood cells
GSM435325	n/a	disomic	white blood cells
GSM435326	n/a	disomic	white blood cells
GSM435327	n/a	disomic	white blood cells
GSM435328	n/a	disomic	white blood cells
GSM435329	n/a	disomic	white blood cells
GSM435330	n/a	disomic	white blood cells
GSM435331	n/a	disomic	white blood cells
GSM435332	n/a	disomic	white blood cells
GSM435333	n/a	disomic	white blood cells
GSM435334	n/a	disomic	white blood cells
GSM435335	n/a	disomic	white blood cells
GSM435336	n/a	disomic	white blood cells
GSM435337	n/a	disomic	white blood cells
GSM435338	n/a	disomic	white blood cells
GSM435339	n/a	disomic	white blood cells
GSM435340	n/a	disomic	white blood cells
GSM435341	n/a	disomic	white blood cells
GSM435342	n/a	disomic	white blood cells
GSM435343	n/a	disomic	white blood cells
GSM435344	n/a	disomic	white blood cells
GSM435345	n/a	n/a	white blood cells
GSM435346	n/a	n/a	white blood cells
GSM435347	n/a	n/a	white blood cells
GSM435348	n/a	n/a	white blood cells
GSM435349	n/a	n/a	white blood cells
GSM435350	n/a	n/a	white blood cells
GSM435351	n/a	n/a	white blood cells
GSM435352	n/a	n/a	white blood cells
GSM435353	n/a	n/a	white blood cells
GSM435354	n/a	n/a	white blood cells
GSM435355	n/a	n/a	white blood cells
GSM435356	n/a	n/a	white blood cells
GSM435357	n/a	n/a	white blood cells
GSM435358	n/a	n/a	white blood cells
GSM435359	n/a	n/a	white blood cells
GSM435360	n/a	n/a	white blood cells
GSM435361	n/a	n/a	white blood cells
GSM435362	n/a	n/a	white blood cells
GSM435363	n/a	n/a	white blood cells
GSM435364	n/a	n/a	white blood cells
